	Date	Height (ft)
329	2021-09-11 05:36:00	0.54
330	2021-09-11 11:06:00	2.88
331	2021-09-11 19:00:00	0.39
332	2021-09-11 23:36:00	2.07
333	2021-09-12 06:30:00	0.59
334	2021-09-12 12:12:00	2.84
335	2021-09-12 20:30:00	0.39
336	2021-09-13 00:42:00	2.03
337	2021-09-13 07:36:00	0.72
338	2021-09-13 13:18:00	2.43
339	2021-09-13 21:12:00	0.31
340	2021-09-14 01:54:00	2.03
341	2021-09-14 09:30:00	1.03
342	2021-09-14 14:24:00	2.71
343	2021-09-14 22:00:00	0.72
344	2021-09-15 02:48:00	2.17
345	2021-09-15 10:24:00	0.93
346	2021-09-15 15:24:00	2.94
347	2021-09-15 23:18:00	0.59
348	2021-09-16 03:54:00	2.15
349	2021-09-16 11:06:00	0.64
350	2021-09-16 17:00:00	2.58
351	2021-09-17 00:24:00	0.43
352	2021-09-17 05:00:00	1.99
353	2021-09-17 11:42:00	0.56
354	2021-09-17 17:30:00	2.81
355	2021-09-18 01:24:00	0.59
356	2021-09-18 05:54:00	2.32
357	2021-09-18 12:36:00	0.7
358	2021-09-18 18:24:00	2.97
359	2021-09-19 01:48:00	0.55
360	2021-09-19 06:42:00	2.47
361	2021-09-19 13:48:00	0.51
362	2021-09-19 19:06:00	3.16
363	2021-09-20 02:24:00	0.74
364	2021-09-20 07:24:00	2.77
365	2021-09-20 14:42:00	0.5
366	2021-09-20 19:54:00	2.71
367	2021-09-21 02:36:00	0.61
368	2021-09-21 08:12:00	2.75
369	2021-09-21 15:12:00	0.41
370	2021-09-21 20:24:00	2.45
371	2021-09-22 03:00:00	0.61
372	2021-09-22 08:54:00	2.66
373	2021-09-22 15:36:00	0.67
374	2021-09-22 21:18:00	2.43
375	2021-09-23 03:24:00	0.94
376	2021-09-23 09:24:00	3.02
377	2021-09-23 16:30:00	0.93
378	2021-09-23 22:00:00	2.39
379	2021-09-24 03:54:00	1.1
380	2021-09-24 09:54:00	2.88
381	2021-09-24 17:06:00	1.12
382	2021-09-24 22:36:00	2.22
383	2021-09-25 04:12:00	1.14
384	2021-09-25 10:54:00	2.63
385	2021-09-25 19:18:00	1.28
386	2021-09-25 23:24:00	2.25
387	2021-09-26 04:42:00	1.45
388	2021-09-26 11:48:00	2.58
389	2021-09-26 20:18:00	0.99
390	2021-09-27 00:00:00	1.98
391	2021-09-27 02:54:00	1.31
392	2021-09-27 12:12:00	2.28
393	2021-09-27 21:06:00	1.12
394	2021-09-28 00:18:00	1.82
395	2021-09-28 03:48:00	1.31
396	2021-09-28 12:54:00	2.21
397	2021-09-28 21:36:00	0.97
398	2021-09-29 01:18:00	1.78
399	2021-09-29 03:54:00	1.36
400	2021-09-29 13:54:00	2.51
401	2021-09-29 22:24:00	1.28
402	2021-09-30 02:18:00	1.99
403	2021-09-30 10:24:00	1.46
404	2021-09-30 14:48:00	2.38
405	2021-09-30 22:48:00	1.0
406	2021-10-01 03:30:00	1.83
407	2021-10-01 11:24:00	1.13
408	2021-10-01 16:00:00	2.44
409	2021-10-02 00:06:00	0.97
410	2021-10-02 04:30:00	1.98
411	2021-10-02 11:06:00	0.9
412	2021-10-02 17:06:00	2.46
413	2021-10-03 00:30:00	0.77
414	2021-10-03 05:18:00	2.25
415	2021-10-03 11:54:00	0.93
416	2021-10-03 17:48:00	2.97
417	2021-10-04 01:06:00	0.97
418	2021-10-04 06:06:00	2.9
419	2021-10-04 12:48:00	0.84
420	2021-10-04 18:24:00	3.18
421	2021-10-05 02:00:00	0.63
422	2021-10-05 06:54:00	2.73
423	2021-10-05 13:36:00	0.25
424	2021-10-05 19:06:00	2.65
425	2021-10-06 02:06:00	0.21
426	2021-10-06 07:36:00	3.03
427	2021-10-06 14:42:00	0.11
428	2021-10-06 19:48:00	2.65
429	2021-10-07 02:42:00	0.16
430	2021-10-07 08:18:00	3.12
431	2021-10-07 15:24:00	0.09
432	2021-10-07 20:42:00	2.66
433	2021-10-08 03:24:00	0.34
434	2021-10-08 09:06:00	3.46
435	2021-10-08 16:24:00	0.18
436	2021-10-08 21:36:00	2.66
437	2021-10-09 04:30:00	0.83
438	2021-10-09 09:54:00	3.73
439	2021-10-09 17:30:00	0.6
440	2021-10-09 22:30:00	2.44
441	2021-10-10 05:06:00	0.66
442	2021-10-10 10:54:00	3.38
443	2021-10-10 18:36:00	0.77
444	2021-10-10 23:24:00	2.6
445	2021-10-11 06:06:00	1.32
446	2021-10-11 12:06:00	3.29
447	2021-10-11 19:48:00	0.8
448	2021-10-12 00:24:00	2.35
449	2021-10-12 07:18:00	1.07
450	2021-10-12 13:06:00	2.84
451	2021-10-12 21:06:00	0.62
452	2021-10-13 01:12:00	2.21
453	2021-10-13 09:12:00	1.17
454	2021-10-13 14:00:00	2.98
455	2021-10-13 22:06:00	0.85
456	2021-10-14 02:30:00	2.41
457	2021-10-14 10:42:00	1.1
458	2021-10-14 15:06:00	2.89
459	2021-10-14 22:54:00	0.98
460	2021-10-15 03:36:00	2.53
461	2021-10-15 11:24:00	1.14
462	2021-10-15 16:24:00	3.1
463	2021-10-15 23:54:00	1.17
464	2021-10-16 04:42:00	2.91
465	2021-10-16 11:54:00	1.26
466	2021-10-16 17:24:00	3.38
467	2021-10-17 01:24:00	1.27
468	2021-10-17 05:36:00	2.78
469	2021-10-17 12:30:00	0.97
470	2021-10-17 17:54:00	3.13
471	2021-10-18 01:06:00	1.02
472	2021-10-18 06:24:00	3.07
473	2021-10-18 13:42:00	0.84
474	2021-10-18 18:36:00	2.77
475	2021-10-19 01:12:00	0.83
476	2021-10-19 07:12:00	3.02
477	2021-10-19 14:18:00	0.73
478	2021-10-19 19:24:00	2.57
479	2021-10-20 02:00:00	0.7
480	2021-10-20 07:48:00	2.94
481	2021-10-20 14:42:00	0.81
482	2021-10-20 19:54:00	2.78
483	2021-10-21 02:24:00	1.05
484	2021-10-21 08:24:00	3.17
485	2021-10-21 15:24:00	0.92
486	2021-10-21 20:36:00	2.59
487	2021-10-22 02:30:00	1.29
488	2021-10-22 08:54:00	3.14
489	2021-10-22 15:42:00	1.0
490	2021-10-22 21:24:00	2.19
491	2021-10-23 03:00:00	0.94
492	2021-10-23 09:36:00	2.74
493	2021-10-23 16:24:00	1.02
494	2021-10-23 22:06:00	2.03
495	2021-10-24 03:48:00	1.0
496	2021-10-24 10:12:00	2.35
497	2021-10-24 19:06:00	0.57
498	2021-10-24 22:42:00	1.52
499	2021-10-25 02:00:00	0.64
500	2021-10-25 10:48:00	2.51
501	2021-10-25 19:12:00	1.09
502	2021-10-25 23:30:00	1.97
503	2021-10-26 02:00:00	1.63
504	2021-10-26 11:42:00	3.59
505	2021-10-26 20:24:00	2.04
506	2021-10-27 00:00:00	3.15
507	2021-10-27 05:36:00	1.66
508	2021-10-27 12:36:00	3.86
509	2021-10-27 19:42:00	2.27
510	2021-10-28 01:06:00	3.64
