,Bottle Number,Bottle Label,Sampling Date,Date Processed,Bottle Cleaned,Observations,STUDY_ID,EVENT_ID,STAT_ID,ORDERED_DEPTH_CODE,SAMPLE_ID,SAMPLE_DEPTH_TOP,SAMPLE_DEPTH_BOTTOM,LATITUDE,LONGITUDE,PROF_DATE_TIME_LOCAL,SAMPLE_DEPTH_CODE,DEPTH (m),CONDTVY (mS/cm),DISS_OXYGEN (mg/L),FLUORESCENCE (ug/L),FLU_RAW (ug/L),PCT_SAT (PCT),pH (),VAL_QUAL,SAL (PSU),SIGMA_T (),TEMP (C),TRANS (m-1),Station_D,Air Irradiance,Water Irradiance,TA in (mmol/kgSW),TCO2 in (mmol/kgSW),t(oC) out,P (dbars) out,pH out,fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW) ,Revelle out,WCa out,WAr out,xCO2 out (dry at 1 atm) (ppm),Field Replicate,VINDTA Sample Name,Sampled Bottle Name,Sampling Date,Sampling Depth,Salinity - Carolina,Salinity - Ries ,Run T,Sampling T,Pressure,Comments,Data Source
10,11,N07-d,04/13/22,,,,BWQM,WN223,N07,E,WN223095,46.87,47.87,42.3562698,-70.7058181,4/13/2022 10:32,E,47.77,31.65,9.947,-0.1509,0.3606,97.35,8.185,,32.6,25.74,5.3,0.6003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
11,12,N07-m,04/13/22,,,,BWQM,WN223,N07,B,WN223098,9.21,10.21,42.3562202,-70.7057037,4/13/2022 10:32,C,10.24,31.79,10.2,1.108,1.533,101.0,8.252,,32.17,25.33,5.928,0.8248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
12,13,N07-s,04/13/22,,,,BWQM,WN223,N07,A,WN223099,0.78,1.78,42.3562088,-70.7056961,4/13/2022 10:32,A,1.77,32.02,10.42,0.5687,0.4087,106.1,8.295,,31.08,24.28,7.378,0.868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
13,14,F22-d,04/13/22,,,,BWQM,WN223,F22,E,WN223069,75.33,76.33,42.4799232,-70.6171493,4/13/2022 8:30,E,76.29,31.9,9.074,-0.0935,0.4174,88.85,8.086,,32.93,26.01,5.234,1.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
14,15,F22-m1,04/13/22,,,,BWQM,WN223,F22,B,WN22306C,16.71,17.71,42.4798774,-70.6171722,4/13/2022 8:30,C,17.71,31.22,10.76,5.665,5.122,105.9,8.274,,31.65,24.93,5.797,1.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
15,16,F22-m2,04/13/22,,,,BWQM,WN223,F22,B,WN22306C,16.71,17.71,42.4798774,-70.6171722,4/13/2022 8:30,C,17.71,31.22,10.76,5.665,5.122,105.9,8.274,,31.65,24.93,5.797,1.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
16,17,F22-s,04/13/22,,,,BWQM,WN223,F22,A,WN22306D,0.78,1.78,42.4798774,-70.6171951,4/13/2022 8:30,A,1.77,31.53,10.55,1.602,1.295,105.9,8.294,,31.06,24.34,6.815,0.9551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
17,18,N01-d,04/13/22,,,,BWQM,WN223,N01,E,WN22304B,27.95,28.95,42.4198074,-70.863327,4/13/2022 7:01,E,28.9,31.72,9.705,-0.069,0.4415,95.66,8.193,,32.33,25.48,5.67,0.9321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
18,19,N01-m1,04/13/22,,,,BWQM,WN223,N01,C,WN22304D,7.98,8.98,42.4198532,-70.8632812,4/13/2022 7:01,C,8.98,31.97,9.956,2.196,2.46,99.64,8.261,,31.9,25.05,6.429,0.9998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
19,20,N01-m2,04/13/22,,,,BWQM,WN223,N01,C,WN22304D,7.98,8.98,42.4198532,-70.8632812,4/13/2022 7:01,C,8.98,31.97,9.956,2.196,2.46,99.64,8.261,,31.9,25.05,6.429,0.9998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
20,21,N01-s,04/13/22,,,,BWQM,WN223,N01,A,WN22304F,0.78,1.78,42.4198799,-70.8632431,4/13/2022 7:01,A,1.8,32.27,10.26,1.108,1.112,103.6,8.283,,31.89,24.99,6.792,0.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
21,22,F06-d,05/13/22,,,,BWQM,WN224,F06,E,WN224040,29.1,30.1,42.1702728,-70.5770263,5/13/2022 7:57,E,29.98,32.97,9.833,,2.094,101.3,8.181,,31.83,24.83,7.671,0.8654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
22,23,F06-m,05/13/22,,,,BWQM,WN224,F06,B,WN224043,6.46,7.46,42.170124,-70.5774765,5/13/2022 7:57,C,7.38,33.54,10.64,,7.334,111.5,8.242,,31.73,24.64,8.451,1.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
23,24,F06-s,05/13/22,,,,BWQM,WN224,F06,A,WN224044,0.9,1.9,42.1700859,-70.5776214,5/13/2022 7:57,A,1.82,33.5,10.53,,2.604,110.7,8.238,,31.54,24.46,8.626,0.9528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
24,25,N07-d,05/13/22,,,,BWQM,WN224,N07,E,WN22406A,46.93,47.93,42.3567657,-70.706192,5/13/2022 9:48,E,47.92,31.99,8.789,,0.746,87.34,8.08,,32.28,25.4,6.029,1.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
25,26,N07-m,05/13/22,,,,BWQM,WN224,N07,B,WN22406D,6.46,7.46,42.3569908,-70.7063369,5/13/2022 9:48,C,7.54,33.39,10.56,,8.475,110.2,8.227,,31.71,24.65,8.298,1.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
26,27,N07-s,05/13/22,,,,BWQM,WN224,N07,A,WN22406E,0.84,1.84,42.3570404,-70.7063827,5/13/2022 9:48,A,1.86,34.07,10.83,,1.587,116.3,8.274,,31.2,24.04,9.67,1.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
27,28,F22-d,05/13/22,,,,BWQM,WN224,F22,E,WN224094,76.61,77.61,42.4813423,-70.6185379,5/13/2022 11:46,E,77.68,31.77,8.768,,0.3239,85.95,8.062,,32.67,25.79,5.346,1.635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
28,29,F22-m1,05/13/22,,,,BWQM,WN224,F22,B,WN224097,10.3,11.3,42.4812469,-70.6181182,5/13/2022 11:46,C,11.31,32.91,10.37,,4.361,107.5,8.199,,31.39,24.43,8.088,0.7881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
29,30,F22-m2,05/13/22,,,,BWQM,WN224,F22,B,WN224097,10.3,11.3,42.4812469,-70.6181182,5/13/2022 11:46,C,11.31,32.91,10.37,,4.361,107.5,8.199,,31.39,24.43,8.088,0.7881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
30,31,F22-s,05/13/22,,,,BWQM,WN224,F22,A,WN224098,0.84,1.84,42.481327,-70.6180801,5/13/2022 11:46,A,1.84,33.58,10.61,,1.214,112.1,8.222,,31.33,24.25,8.955,0.992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
31,32,N01-d,05/13/22,,,,BWQM,WN224,N01,E,WN2240B0,26.3,27.3,42.4199638,-70.8650054,5/13/2022 13:19,E,27.32,32.86,9.705,,1.337,100.3,8.168,,31.46,24.5,7.944,0.947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
32,33,N01-m1,05/13/22,,,,BWQM,WN224,N01,B,WN2240B3,6.21,7.21,42.4202423,-70.8651504,5/13/2022 13:19,C,7.13,34.28,10.88,,8.248,117.6,8.288,,31.1,23.9,10.04,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
33,34,N01-m2,05/13/22,,,,BWQM,WN224,N01,B,WN2240B3,6.21,7.21,42.4202423,-70.8651504,5/13/2022 13:19,C,7.13,34.28,10.88,,8.248,117.6,8.288,,31.1,23.9,10.04,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
34,35,N01-s,05/13/22,,,,BWQM,WN224,N01,A,WN2240B4,0.9,1.9,42.4203567,-70.8652267,5/13/2022 13:19,A,1.85,34.97,10.91,,1.749,120.2,8.3,,31.08,23.75,10.86,1.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
35,36,F06-d,06/28/22,,,,BWQM,WN225,F06,E,WN2250AA,31.1,32.1,42.1706667,-70.5766667,6/28/2022 11:14,E,32.22,33.75,8.392,0.3,1.065,87.97,7.955,,31.98,24.85,8.403,0.6718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,37,F06-m,06/28/22,,,,BWQM,WN225,F06,B,WN2250AD,6.56,7.56,42.1706667,-70.5766667,6/28/2022 11:14,C,7.51,36.73,8.934,1.47,4.151,101.5,8.08,,31.71,24.01,12.13,1.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,38,F06-s,06/28/22,,,,BWQM,WN225,F06,A,WN2250AE,0.94,1.94,42.1706667,-70.5766667,6/28/2022 11:14,A,2.04,40.04,8.986,0.37,1.244,110.6,8.182,,31.51,23.05,16.08,1.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,39,N07-d,06/28/22,,,,BWQM,WN225,N07,E,WN225080,44.9,45.9,42.3563333,-70.7061667,6/28/2022 9:42,E,45.95,33.1,8.421,0.13,0.6278,86.56,7.929,,32.1,25.07,7.519,0.6823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,40,N07-m,06/28/22,,,,BWQM,WN225,N07,C,WN225082,18.95,19.95,42.3563333,-70.7061667,6/28/2022 9:42,C,19.97,34.88,9.861,1.9,5.288,106.6,8.109,,31.9,24.56,9.803,0.7737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,41,N07-s,06/28/22,,,,BWQM,WN225,N07,A,WN225084,1.01,2.01,42.3563333,-70.7061667,6/28/2022 9:42,A,2.04,41.44,8.31,0.19,0.7748,105.7,8.224,,31.4,22.57,17.78,0.764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,42,F22-d,06/28/22,,,,BWQM,WN225,F22,E,WN225054,75.31,76.31,42.4798333,-70.6176667,6/28/2022 8:05,E,76.43,32.52,7.865,0.04,0.3787,79.15,7.882,,32.37,25.41,6.527,1.644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,43,F22-m1,06/28/22,,,,BWQM,WN225,F22,B,WN225057,11.69,12.69,42.4798333,-70.6176667,6/28/2022 8:05,C,12.79,35.6,9.11,1.5,4.237,100.6,8.072,,31.74,24.27,10.82,0.9553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,44,F22-m2,06/28/22,,,,BWQM,WN225,F22,B,WN225057,11.69,12.69,42.4798333,-70.6176667,6/28/2022 8:05,C,12.79,35.6,9.11,1.5,4.237,100.6,8.072,,31.74,24.27,10.82,0.9553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,45,F22-s,06/28/22,,,,BWQM,WN225,F22,A,WN225058,1.13,2.13,42.4798333,-70.6176667,6/28/2022 8:05,A,2.05,40.29,8.886,0.68,2.078,110.1,8.203,,31.43,22.9,16.47,1.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,46,N01-d,06/28/22,,,,BWQM,WN225,N01,E,WN225038,27.56,28.56,42.4193333,-70.8645,6/28/2022 6:48,E,28.49,33.96,8.503,0.36,1.229,89.65,7.947,,31.96,24.79,8.664,0.7555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,47,N01-m1,06/28/22,,,,BWQM,WN225,N01,C,WN22503A,9.25,10.25,42.4193333,-70.8645,6/28/2022 6:48,C,10.33,36.75,9.66,1.94,5.396,109.8,8.096,,31.72,24.01,12.15,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,48,N01-m2,06/28/22,,,,BWQM,WN225,N01,C,WN22503A,9.25,10.25,42.4193333,-70.8645,6/28/2022 6:48,C,10.33,36.75,9.66,1.94,5.396,109.8,8.096,,31.72,24.01,12.15,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,49,N01-s,06/28/22,,,,BWQM,WN225,N01,A,WN22503C,0.4,1.4,42.4193333,-70.8645,6/28/2022 6:48,A,1.48,40.02,8.548,0.8,2.376,105.5,8.115,,31.37,22.9,16.25,1.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,50,HAR-s,05/17/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,51,HAR-d1,05/17/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,52,HAR-d2,05/17/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,53,Poc-1,05/17/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,54,Poc-2,05/17/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,55,HAR-s,06/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,56,HAR-d1,06/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,57,HAR-d2,06/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,58,Poc-1,06/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,59,Poc-2,06/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,60,HAR-s,06/09/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,61,HAR-d1,06/09/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,62,HAR-d2,06/09/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,63,HAR-s,07/14/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,64,HAR-d1,07/14/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,65,HAR-d2,07/14/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,66,Poc-1,07/14/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,67,Poc-2,07/14/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,68,HAR-s,08/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,69,HAR-d1,08/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,70,HAR-d2,08/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,71,Poc-1,08/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,72,Poc-2,08/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,73,HAR-s,09/22/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,74,HAR-d1,09/22/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,75,HAR-d2,09/22/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,76,Poc-1,09/22/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,77,Poc-2,09/22/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,78,F06-d,07/26/2022,,,,BWQM,WN226,F06,E,WN2260A5,31.4,32.4,42.1706667,-70.5766667,7/26/2022 11:33,E,32.22,33.49,7.747,-0.0906,1.469,80.57,7.935,,32.04,24.94,8.042,0.6079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,79,F06-m,07/26/2022,,,,BWQM,WN226,F06,C,WN2260A7,11.99,12.99,42.1706667,-70.5766667,7/26/2022 11:33,C,13.03,35.6,9.683,3.328,5.764,106.6,8.101,,31.89,24.42,10.64,0.9826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,80,F06-s,07/26/2022,,,,BWQM,WN226,F06,A,WN2260A9,0.88,1.88,42.1706667,-70.5766667,7/26/2022 11:33,A,1.93,40.59,9.04,0.8366,1.149,111.9,8.166,,31.82,23.24,16.3,0.8899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,81,N07-d,07/26/2022,,,,BWQM,WN226,N07,E,WN226077,45.2,46.2,42.3563333,-70.7061667,7/26/2022 9:50,E,46.32,32.86,8.002,-0.6609,0.626,81.71,7.933,,32.11,25.11,7.227,0.6719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,82,N07-m,07/26/2022,,,,BWQM,WN226,N07,C,WN226079,16.57,17.57,42.3563333,-70.7061667,7/26/2022 9:50,C,17.37,33.63,8.97,1.472,3.548,93.62,8.028,,32.05,24.93,8.191,0.6441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,83,N07-s,07/26/2022,,,,BWQM,WN226,N07,A,WN22607B,0.76,1.76,42.3563333,-70.7061667,7/26/2022 9:50,A,1.85,42.07,9.0,0.0741,0.7124,115.2,8.164,,31.76,22.79,18.0,0.9001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,84,F22-d,07/26/2022,,,,BWQM,WN226,F22,E,WN22604B,75.55,76.55,42.4798333,-70.6176667,7/26/2022 8:12,E,76.46,32.71,8.113,-0.639,0.6596,82.31,7.931,,32.22,25.24,6.92,0.7531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,85,F22-m1,07/26/2022,,,,BWQM,WN226,F22,C,WN22604D,25.17,26.17,42.4798333,-70.6176667,7/26/2022 8:12,C,26.15,34.0,9.116,1.589,3.693,95.98,8.032,,32.11,24.92,8.564,0.6358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,86,F22-m2,07/26/2022,,,,BWQM,WN226,F22,C,WN22604D,25.17,26.17,42.4798333,-70.6176667,7/26/2022 8:12,C,26.15,34.0,9.116,1.589,3.693,95.98,8.032,,32.11,24.92,8.564,0.6358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,87,F22-s,07/26/2022,,,,BWQM,WN226,F22,A,WN22604F,0.82,1.82,42.4798333,-70.6176667,7/26/2022 8:12,A,1.8,40.12,8.924,0.0384,0.5976,109.7,8.136,,31.65,23.18,16.0,0.731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,88,N01-d,07/26/2022,,,,BWQM,WN226,N01,E,WN22602C,27.13,28.13,42.4193333,-70.8645,7/26/2022 6:53,E,28.12,33.41,7.773,-0.026,1.561,80.71,7.885,,32.01,24.93,7.98,0.7714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,89,N01-m1,07/26/2022,,,,BWQM,WN226,N01,C,WN22602E,15.84,16.84,42.4193333,-70.8645,7/26/2022 6:53,C,16.98,33.82,8.853,1.682,3.809,93.02,7.986,,31.97,24.82,8.509,0.6893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,90,N01-m2,07/26/2022,,,,BWQM,WN226,N01,C,WN22602E,15.84,16.84,42.4193333,-70.8645,7/26/2022 6:53,C,16.98,33.82,8.853,1.682,3.809,93.02,7.986,,31.97,24.82,8.509,0.6893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,91,N01-s,07/26/2022,,,,BWQM,WN226,N01,A,WN226030,0.7,1.7,42.4193333,-70.8645,7/26/2022 6:53,A,1.74,38.77,9.906,1.423,2.832,117.8,8.124,,31.8,23.65,14.32,1.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,92,F06-d,08/23/22,,,,BWQM,WN227,F06,E,WN2270AE,29.09,30.09,42.1706667,-70.5766667,8/23/2022 11:47,E,30.29,36.21,7.404,-0.0653,0.9896,82.51,7.949,,32.05,24.46,11.14,0.5658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,93,F06-m,08/23/22,,,,BWQM,WN227,F06,B,WN2270B1,7.79,8.79,42.1706667,-70.5766667,8/23/2022 11:47,C,8.72,43.65,8.517,3.605,5.17,112.4,8.251,,31.86,22.48,19.57,0.9057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,94,F06-s,08/23/22,,,,BWQM,WN227,F06,A,WN2270B2,1.13,2.13,42.1706667,-70.5766667,8/23/2022 11:47,A,2.14,44.33,8.462,1.239,2.568,113.6,8.282,,31.66,22.07,20.56,0.9134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
