Datetime_UTC,Sal
1.6656273e+18,30.54513250109835
1.6656282e+18,30.545259526941006
1.6656291e+18,30.54538733177178
1.66563e+18,30.545515913823536
1.6656309e+18,30.545645271308857
1.6656318e+18,30.545775402449355
1.6656327e+18,30.54590630542959
1.6656336e+18,30.5460379784181
1.6656345e+18,30.54617041960534
1.6656354e+18,30.546303627146152
1.6656363e+18,30.54643759914391
1.6656372e+18,30.546572333789587
1.6656381e+18,30.546707829150915
1.665639e+18,30.546844083354305
1.6656399e+18,30.54698109444095
1.6656408e+18,30.547118860514654
1.6656417e+18,30.54725737962422
1.6656426e+18,30.547396649754546
1.6656435e+18,30.547536668905142
1.6656444e+18,30.547677435045852
1.6656453e+18,30.547818946099518
1.6656462e+18,30.54796119999142
1.6656471e+18,30.54810419460674
1.665648e+18,30.548247927825837
1.6656489e+18,30.548392397516864
1.6656498e+18,30.54853760151386
1.6656507e+18,30.548683537686525
1.6656516e+18,30.548830203815267
1.6656525e+18,30.54897759770721
1.6656534e+18,30.54912571716537
1.6656543e+18,30.549274559900546
1.6656552e+18,30.549424123662128
1.6656561e+18,30.5495744061529
1.665657e+18,30.549725405061793
1.6656579e+18,30.549877118092283
1.6656588e+18,30.550029542870075
1.6656597e+18,30.55018267706933
1.6656606e+18,30.55033651830564
1.6656615e+18,30.55049106419651
1.6656624e+18,30.550646312326887
1.6656633e+18,30.550802260285575
1.6656642e+18,30.55095890566618
1.6656651e+18,30.55111624601297
1.665666e+18,30.551274278888027
1.6656669e+18,30.551433001845755
1.6656678e+18,30.551592412423176
1.6656687e+18,30.551752508152923
1.6656696e+18,30.551913286557912
1.6656705e+18,30.55207474515747
1.6656714e+18,30.5522368814355
1.6656723e+18,30.55239969290627
1.6656732e+18,30.552563177073374
1.6656741e+18,30.552727331367656
1.665675e+18,30.55289215328672
1.6656759e+18,30.553057640294863
1.6656768e+18,30.553223789867655
1.6656777e+18,30.553390599439584
1.6656786e+18,30.55355806644579
1.6656795e+18,30.553726188369073
1.6656804e+18,30.553894962631215
1.6656813e+18,30.55406438672507
1.6656822e+18,30.55423445810872
1.6656831e+18,30.55440517425009
1.665684e+18,30.554576532678194
1.6656849e+18,30.554748530849007
1.6656858e+18,30.554921166322277
1.6656867e+18,30.555094436603486
1.6656876e+18,30.555268339240108
1.6656885e+18,30.555442871730023
1.6656894e+18,30.555618031701595
1.6656903e+18,30.555793816672843
1.6656912e+18,30.55597022424103
1.6656921e+18,30.55614725199121
1.665693e+18,30.55632489752629
1.6656939e+18,30.55650315847874
1.6656948e+18,30.55668203243787
1.6656957e+18,30.55686151704568
1.6656966e+18,30.557041609988325
1.6656975e+18,30.5572223088663
1.6656984e+18,30.55740361135093
1.6656993e+18,30.557585515108045
1.6657002e+18,30.557768017809032
1.6657011e+18,30.55795111711884
1.665702e+18,30.558134810735424
1.6657029e+18,30.558319096319064
1.6657038e+18,30.558503971578215
1.6657047e+18,30.558689434226423
1.6657056e+18,30.558875481939108
1.6657065e+18,30.55906211245275
1.6657074e+18,30.5592493234867
1.6657083e+18,30.559437112748963
1.6657092e+18,30.55962547798345
1.6657101e+18,30.559814416902203
1.665711e+18,30.56000392722047
1.6657119e+18,30.560194006650306
1.6657128e+18,30.56038465289701
1.6657137e+18,30.560575863666436
1.6657146e+18,30.560767636622934
1.6657155e+18,30.56095996945728
1.6657164e+18,30.561152859837765
1.6657173e+18,30.561346305398423
1.6657182e+18,30.561540303854432
1.6657191e+18,30.561734852832775
1.66572e+18,30.56192995002773
1.6657209e+18,30.562125593090695
1.6657218e+18,30.562321779712157
1.6657227e+18,30.56251850758506
1.6657236e+18,30.56271577435823
1.6657245e+18,30.5629135777319
1.6657254e+18,30.5631119153885
1.6657263e+18,30.56331078501295
1.6657272e+18,30.563510184289836
1.6657281e+18,30.563710110897844
1.665729e+18,30.5639105625601
1.6657299e+18,30.5641115369519
1.6657308e+18,30.56431303177495
1.6657317e+18,30.564515044723507
1.6657326e+18,30.56471757348482
1.6657335e+18,30.56492061574291
1.6657344e+18,30.56512416919094
1.6657353e+18,30.565328231487385
1.6657362e+18,30.56553280028935
1.6657371e+18,30.565737873240515
1.665738e+18,30.565943447958222
1.6657389e+18,30.566149522096076
1.6657398e+18,30.566356093220847
1.6657407e+18,30.566563158917162
1.6657416e+18,30.566770716784678
1.6657425e+18,30.566978764371964
1.6657434e+18,30.567187299210325
1.6657443e+18,30.567396318820524
1.6657452e+18,30.567605820712895
1.6657461e+18,30.567815802366205
1.665747e+18,30.568026261222293
1.6657479e+18,30.568237194723658
1.6657488e+18,30.56844860029658
1.6657497e+18,30.568660475290976
1.6657506e+18,30.568872817106747
1.6657515e+18,30.569085623092224
1.6657524e+18,30.56929889054834
1.6657533e+18,30.56951261679038
1.6657542e+18,30.569726799116946
1.6657551e+18,30.5699414347764
1.665756e+18,30.570156521052716
1.6657569e+18,30.570372055207304
1.6657578e+18,30.57058803445658
1.6657587e+18,30.570804456033315
1.6657596e+18,30.5710213171319
1.6657605e+18,30.571238614934934
1.6657614e+18,30.571456346587095
1.6657623e+18,30.571674509229414
1.6657632e+18,30.57189309996377
1.6657641e+18,30.572112115872088
1.665765e+18,30.57233155401165
1.6657659e+18,30.57255141142433
1.6657668e+18,30.5727716851029
1.6657677e+18,30.572992372032406
1.6657686e+18,30.573213469153885
1.6657695e+18,30.573434973445988
1.6657704e+18,30.573656881778614
1.6657713e+18,30.573879191065437
1.6657722e+18,30.574101898191024
1.6657731e+18,30.574325000008685
1.665774e+18,30.574548493363192
1.6657749e+18,30.574772375114613
1.6657758e+18,30.57499664208515
1.6657767e+18,30.57522129109174
1.6657776e+18,30.575446318970393
1.6657785e+18,30.57567172252504
1.6657794e+18,30.57589749860127
1.6657803e+18,30.576123644018946
1.6657812e+18,30.576350155641663
1.6657821e+18,30.576577030310993
1.665783e+18,30.576804264917822
1.6657839e+18,30.57703185633267
1.6657848e+18,30.577259801471257
1.6657857e+18,30.577488097250512
1.6657866e+18,30.57771674060954
1.6657875e+18,30.5779457285168
1.6657884e+18,30.578175057931944
1.6657893e+18,30.578404725845594
1.6657902e+18,30.57863472925917
1.6657911e+18,30.57886506522073
1.665792e+18,30.579095730757345
1.6657929e+18,30.579326722939015
1.6657938e+18,30.579558038847228
1.6657947e+18,30.5797896755663
1.6657956e+18,30.5800216302177
1.6657965e+18,30.580253899918976
1.6657974e+18,30.58048648180695
1.6657983e+18,30.580719373025392
1.6657992e+18,30.580952570711517
1.6658001e+18,30.581186072025428
1.665801e+18,30.58141987409428
1.6658019e+18,30.58165397409405
1.6658028e+18,30.58188836917615
1.6658037e+18,30.582123056508507
1.6658046e+18,30.582358033263002
1.6658055e+18,30.58259329661127
1.6658064e+18,30.582828843730976
1.6658073e+18,30.583064671785554
1.6658082e+18,30.58330077797835
1.6658091e+18,30.583537159459958
1.66581e+18,30.5837738134374
1.6658109e+18,30.584010737087315
1.6658118e+18,30.584247927607368
1.6658127e+18,30.58448538216411
1.6658136e+18,30.58472309793723
1.6658145e+18,30.584961072053126
1.6658154e+18,30.58519930165894
1.6658163e+18,30.58543778383611
1.6658172e+18,30.585676515662634
1.6658181e+18,30.58591549418171
1.665819e+18,30.586154716424094
1.6658199e+18,30.586394179372693
1.6658208e+18,30.58663387999738
1.6658217e+18,30.586873815244633
1.6658226e+18,30.587113982021265
1.6658235e+18,30.587354377234714
1.6658244e+18,30.587594997742364
1.6658253e+18,30.587835840398053
1.6658262e+18,30.588076902013672
1.6658271e+18,30.588318179396307
1.665828e+18,30.58855966932925
1.6658289e+18,30.588801368579066
1.6658298e+18,30.589043273880325
1.6658307e+18,30.58928538196094
1.6658316e+18,30.589527689528516
1.6658325e+18,30.589770193260843
1.6658334e+18,30.590012889828103
1.6658343e+18,30.590255775853013
1.6658352e+18,30.590498847979863
1.6658361e+18,30.59074210279648
1.665837e+18,30.590985536895655
1.6658379e+18,30.591229146830596
1.6658388e+18,30.591472929164034
1.6658397e+18,30.59171688042297
1.6658406e+18,30.59196099710662
1.6658415e+18,30.592205275713592
1.6658424e+18,30.592449712719304
1.6658433e+18,30.592694304579464
