Salinity_Time,Salinity,Datetime
2022-05-12 22:30:00,30.6,2022-05-12 22:30:00
2022-05-13 11:00:00,30.9,2022-05-13 11:00:00
2022-05-13 04:00:00,31.0,2022-05-13 04:00:00
2022-05-16 00:30:00,30.2,2022-05-16 00:30:00
2022-05-16 18:45:00,30.0,2022-05-16 18:45:00
2022-05-17 01:15:00,29.8,2022-05-17 01:15:00
2022-05-13 16:15:00,30.6,2022-05-13 16:15:00
2022-05-15 12:45:00,29.5,2022-05-15 12:45:00
2022-05-13 23:15:00,29.6,2022-05-13 23:15:00
2022-05-20 22:15:00,30.7,2022-05-20 22:15:00
2022-05-17 19:30:00,30.5,2022-05-17 19:30:00
2022-05-19 21:15:00,30.1,2022-05-19 21:15:00
2022-05-14 12:00:00,29.2,2022-05-14 12:00:00
2022-05-15 05:30:00,29.7,2022-05-15 05:30:00
2022-05-22 11:45:00,30.0,2022-05-22 11:45:00
2022-05-26 03:30:00,30.2,2022-05-26 03:30:00
2022-05-12 22:45:00,30.8,2022-05-12 22:45:00
2022-05-13 11:15:00,30.7,2022-05-13 11:15:00
2022-05-13 03:45:00,30.9,2022-05-13 03:45:00
2022-05-16 06:15:00,30.0,2022-05-16 06:15:00
2022-05-22 19:30:00,29.3,2022-05-22 19:30:00
2022-05-16 13:45:00,29.4,2022-05-16 13:45:00
2022-05-13 16:00:00,30.6,2022-05-13 16:00:00
2022-05-16 18:30:00,30.0,2022-05-16 18:30:00
2022-05-16 00:45:00,30.2,2022-05-16 00:45:00
2022-05-14 04:30:00,30.6,2022-05-14 04:30:00
2022-05-13 23:30:00,29.7,2022-05-13 23:30:00
2022-05-17 07:00:00,30.0,2022-05-17 07:00:00
2022-05-19 21:00:00,30.1,2022-05-19 21:00:00
2022-05-14 16:45:00,29.7,2022-05-14 16:45:00
2022-05-14 12:15:00,29.2,2022-05-14 12:15:00
2022-05-12 23:00:00,31.1,2022-05-12 23:00:00
2022-05-21 10:30:00,30.3,2022-05-21 10:30:00
2022-05-13 03:30:00,30.8,2022-05-13 03:30:00
2022-05-19 03:15:00,30.0,2022-05-19 03:15:00
2022-05-15 17:30:00,29.9,2022-05-15 17:30:00
2022-05-15 00:15:00,29.8,2022-05-15 00:15:00
2022-05-13 15:45:00,30.7,2022-05-13 15:45:00
2022-05-21 18:45:00,29.6,2022-05-21 18:45:00
2022-05-24 01:00:00,29.5,2022-05-24 01:00:00
2022-05-16 06:00:00,30.0,2022-05-16 06:00:00
2022-05-16 14:00:00,29.5,2022-05-16 14:00:00
2022-05-19 16:45:00,29.9,2022-05-19 16:45:00
2022-05-13 23:45:00,29.6,2022-05-13 23:45:00
2022-05-16 01:00:00,30.1,2022-05-16 01:00:00
2022-05-14 16:30:00,29.6,2022-05-14 16:30:00
2022-05-17 19:00:00,30.4,2022-05-17 19:00:00
2022-05-12 23:15:00,31.1,2022-05-12 23:15:00
2022-05-13 03:15:00,30.7,2022-05-13 03:15:00
2022-06-03 04:15:00,29.7,2022-06-03 04:15:00
2022-05-21 10:15:00,30.3,2022-05-21 10:15:00
2022-05-13 15:30:00,30.7,2022-05-13 15:30:00
2022-05-15 05:00:00,29.7,2022-05-15 05:00:00
2022-05-22 06:45:00,29.9,2022-05-22 06:45:00
2022-05-19 03:30:00,29.8,2022-05-19 03:30:00
2022-05-15 00:30:00,29.8,2022-05-15 00:30:00
2022-05-20 09:15:00,31.0,2022-05-20 09:15:00
2022-05-16 18:00:00,30.0,2022-05-16 18:00:00
2022-05-18 16:00:00,30.7,2022-05-18 16:00:00
2022-05-14 04:00:00,30.6,2022-05-14 04:00:00
2022-05-14 00:00:00,29.7,2022-05-14 00:00:00
2022-05-12 23:30:00,31.1,2022-05-12 23:30:00
2022-05-13 12:00:00,30.6,2022-05-13 12:00:00
2022-05-17 18:45:00,30.4,2022-05-17 18:45:00
2022-05-13 15:15:00,30.5,2022-05-13 15:15:00
2022-05-18 02:45:00,30.7,2022-05-18 02:45:00
2022-05-19 08:15:00,30.1,2022-05-19 08:15:00
2022-05-15 17:00:00,29.9,2022-05-15 17:00:00
2022-05-17 02:00:00,29.8,2022-05-17 02:00:00
2022-05-15 04:45:00,29.7,2022-05-15 04:45:00
2022-05-25 01:30:00,30.1,2022-05-25 01:30:00
2022-05-20 18:15:00,30.7,2022-05-20 18:15:00
2022-05-24 12:45:00,31.4,2022-05-24 12:45:00
2022-05-12 23:45:00,31.0,2022-05-12 23:45:00
2022-05-13 12:15:00,30.6,2022-05-13 12:15:00
2022-05-14 00:15:00,29.8,2022-05-14 00:15:00
2022-05-13 15:00:00,30.7,2022-05-13 15:00:00
2022-05-22 10:45:00,30.1,2022-05-22 10:45:00
2022-05-15 13:45:00,30.0,2022-05-15 13:45:00
2022-05-20 21:00:00,30.1,2022-05-20 21:00:00
2022-05-16 05:30:00,30.0,2022-05-16 05:30:00
2022-05-15 16:45:00,29.9,2022-05-15 16:45:00
2022-05-18 19:15:00,29.9,2022-05-18 19:15:00
2022-05-16 01:30:00,30.0,2022-05-16 01:30:00
2022-05-13 02:30:00,30.8,2022-05-13 02:30:00
2022-05-13 00:00:00,30.7,2022-05-13 00:00:00
2022-05-13 14:45:00,31.0,2022-05-13 14:45:00
2022-05-16 17:30:00,30.0,2022-05-16 17:30:00
2022-05-14 03:30:00,30.6,2022-05-14 03:30:00
2022-05-14 00:30:00,29.6,2022-05-14 00:30:00
2022-05-15 01:00:00,29.8,2022-05-15 01:00:00
2022-05-15 14:00:00,30.0,2022-05-15 14:00:00
2022-05-20 08:45:00,31.0,2022-05-20 08:45:00
2022-05-13 02:15:00,30.8,2022-05-13 02:15:00
2022-05-13 00:15:00,29.4,2022-05-13 00:15:00
2022-05-21 20:00:00,29.7,2022-05-21 20:00:00
2022-05-14 15:30:00,29.6,2022-05-14 15:30:00
2022-05-16 05:15:00,30.0,2022-05-16 05:15:00
2022-05-17 15:45:00,29.3,2022-05-17 15:45:00
2022-05-14 13:30:00,29.5,2022-05-14 13:30:00
2022-05-14 03:15:00,30.7,2022-05-14 03:15:00
2022-05-13 02:00:00,30.7,2022-05-13 02:00:00
2022-05-13 00:30:00,30.1,2022-05-13 00:30:00
2022-05-15 14:15:00,30.1,2022-05-15 14:15:00
2022-05-14 15:15:00,29.6,2022-05-14 15:15:00
2022-05-13 13:15:00,30.6,2022-05-13 13:15:00
2022-05-13 01:45:00,30.6,2022-05-13 01:45:00
2022-05-13 00:45:00,30.6,2022-05-13 00:45:00
2022-05-13 13:30:00,30.6,2022-05-13 13:30:00
2022-05-16 17:00:00,30.0,2022-05-16 17:00:00
2022-05-13 01:00:00,30.8,2022-05-13 01:00:00
2022-05-13 01:15:00,31.0,2022-05-13 01:15:00
2022-05-14 01:00:00,30.0,2022-05-14 01:00:00
2022-05-14 14:00:00,29.5,2022-05-14 14:00:00
2022-05-23 09:30:00,30.3,2022-05-23 09:30:00
2022-05-14 14:45:00,29.6,2022-05-14 14:45:00
2022-05-14 14:15:00,29.5,2022-05-14 14:15:00
2022-05-14 14:30:00,29.6,2022-05-14 14:30:00
2022-05-15 01:30:00,29.8,2022-05-15 01:30:00
2022-05-14 02:45:00,30.7,2022-05-14 02:45:00
2022-05-17 17:30:00,29.5,2022-05-17 17:30:00
2022-05-14 01:15:00,30.1,2022-05-14 01:15:00
2022-05-18 17:30:00,30.1,2022-05-18 17:30:00
2022-05-15 15:00:00,29.7,2022-05-15 15:00:00
2022-05-15 15:15:00,29.9,2022-05-15 15:15:00
2022-05-14 02:30:00,30.7,2022-05-14 02:30:00
2022-05-15 03:45:00,29.7,2022-05-15 03:45:00
2022-05-14 01:30:00,30.1,2022-05-14 01:30:00
2022-05-16 04:45:00,30.0,2022-05-16 04:45:00
2022-05-14 02:15:00,30.8,2022-05-14 02:15:00
2022-05-14 01:45:00,30.4,2022-05-14 01:45:00
2022-05-14 02:00:00,30.4,2022-05-14 02:00:00
2022-05-22 08:45:00,30.0,2022-05-22 08:45:00
2022-05-21 07:00:00,30.2,2022-05-21 07:00:00
2022-05-19 07:15:00,30.0,2022-05-19 07:15:00
2022-05-20 05:45:00,30.6,2022-05-20 05:45:00
2022-05-15 03:30:00,29.7,2022-05-15 03:30:00
2022-06-12 00:45:00,28.9,2022-06-12 00:45:00
2022-05-17 03:00:00,30.0,2022-05-17 03:00:00
2022-05-15 02:00:00,29.7,2022-05-15 02:00:00
2022-05-16 04:30:00,30.1,2022-05-16 04:30:00
2022-06-12 01:00:00,28.9,2022-06-12 01:00:00
2022-06-13 01:15:00,29.4,2022-06-13 01:15:00
