Year Day,Temperature C,CO2,Battery,Date (UTC),Depth (dbar),Sal/TA Date (UTC),Salinity,TA (Approximated),Saturation Aragonite Out,Saturation Aragonite Out (MCHP73),"Saturation Aragonite Out (H73a,H73b,MCHP73)",Saturation Aragonite Out (MCHP73 refit),Saturation Aragonite Out (RRV93)
277.3543,19.41,1003.2,10.87,2021-10-04 08:30:11,11.65237,2021-10-04 08:33:42,26.895,1877.467,1.0372322959835445,1.1727641667026538,1.0806687768758672,1.0392245405314424,1.1384698656862924
277.3751,19.38,1118.6,10.87,2021-10-04 09:00:08,11.65237,2021-10-04 09:03:42,27.002,1883.3092,0.9499841456565125,1.0671137648362856,0.9908347455122902,0.9518870402355258,1.0441563233253572
277.3959,19.5,1130.5,10.87,2021-10-04 09:30:05,11.65237,2021-10-04 09:33:42,27.281,1898.5426,0.9607008735899597,1.062816546180145,1.0021201955695795,0.9626506912798817,1.056431828898298
277.4168,19.38,1001.3,10.87,2021-10-04 10:00:11,11.65237,2021-10-04 10:03:42,27.292,1899.1432,1.0672419973910567,1.1807704858001724,1.1120836747149456,1.069350176768016,1.1717758107553862
277.4376,19.53,1163.2,10.87,2021-10-04 10:30:08,11.65237,2021-10-04 10:33:42,27.423,1906.2958,0.9463745801769536,1.0393208148104611,0.9874632284842915,0.9483247328417389,1.0411756091728346
277.4584,19.21,1186.5,10.87,2021-10-04 11:00:05,11.65237,2021-10-04 11:03:42,27.019,1884.2374,0.901215713163699,1.0113087545516282,0.9406184759863717,0.903075695208507,0.9911122034360604
277.4793,19.07,1301.0,10.87,2021-10-04 11:30:11,11.65237,2021-10-04 11:33:42,26.262,1842.9052,0.7850498144909965,0.9235679432597814,0.8199363913022645,0.7866473370261208,0.8633197631571718
277.5001,18.61,1554.7,10.87,2021-10-04 12:00:08,11.65237,2021-10-04 12:03:42,26.196,1839.3016,0.6597010026582538,0.7789803170389178,0.6904723357067187,0.6611532773799651,0.7262536459549426
277.5209,18.68,1664.6,10.87,2021-10-04 12:30:05,11.65237,2021-10-04 12:33:42,25.695,1811.947,0.5968007395512499,0.7321781456264272,0.6248538445823976,0.5980920476027977,0.6568561884157383
277.5418,19.0,1764.6,10.87,2021-10-04 13:00:11,11.65237,2021-10-04 13:03:42,26.379,1849.2934,0.5968637621328335,0.6951092924296263,0.6253217970207599,0.5982195189601311,0.6581167953153996
277.5626,19.04,1591.1,10.87,2021-10-04 13:30:08,11.65237,2021-10-04 13:33:42,26.778,1871.0788,0.6771888209496199,0.769415579438043,0.7088637518164934,0.6787126216822179,0.7465396101545286
277.5834,19.0,1609.7,10.87,2021-10-04 14:00:05,11.65237,2021-10-04 14:03:42,26.325,1846.345,0.6478860345021279,0.757814918225542,0.6781525045093062,0.649310572914549,0.7138336170143298
277.6043,18.95,1538.0,10.87,2021-10-04 14:30:11,11.65237,2021-10-04 14:33:42,26.332,1846.7272,0.6758337099349065,0.7903988336425382,0.7071230878232231,0.6773031267220535,0.7443289859450014
277.6251,18.97,1733.6,10.87,2021-10-04 15:00:08,11.65237,2021-10-04 15:03:42,26.44,1852.624,0.6093711726919889,0.7068812039306238,0.6383536977820062,0.6107555472578292,0.6718646097549456
277.6459,19.16,1638.3,10.87,2021-10-04 15:30:05,11.65237,2021-10-04 15:33:42,26.48,1854.808,0.645904006741478,0.7475091410039204,0.6761440278355809,0.647333089972851,0.7120076400506316
277.6668,19.04,1513.4,10.87,2021-10-04 16:00:11,11.65237,2021-10-04 16:03:42,26.217,1840.4482,0.681008794564648,0.8029404872397781,0.712328316987157,0.6824624102244284,0.7498635504797473
277.6876,18.95,1539.5,10.87,2021-10-04 16:30:08,11.65237,2021-10-04 16:33:42,26.095,1833.787,0.6635982418495588,0.7893162488322789,0.694245171630092,0.6650179103343237,0.7306048776914217
277.7084,18.71,1737.1,10.87,2021-10-04 17:00:05,11.65237,2021-10-04 17:03:42,25.986,1827.8356,0.586157350832685,0.7023290662409755,0.6140528843230866,0.5874684145366988,0.6456619750366391
277.7293,19.07,1744.4,10.87,2021-10-04 17:30:11,11.65237,2021-10-04 17:33:42,26.578,1860.1588,0.6127757238880024,0.7044253918975094,0.6419391606021638,0.6141746635468173,0.6758460944193216
