"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"wqbslwq   ","P",05/21/2022 2:30,0,1,"",16.0,<0> ,47.04,<0> ,30.6,<0> ,99.4,<0> ,8.2,<0> ,1.28,<0> ,"","","",<-1> ,"","",7.9,<0> ,3,<0> ,6.3,<0> ,
"wqbslwq   ","P",05/21/2022 2:45,0,1,"",16.0,<0> ,46.78,<0> ,30.4,<0> ,99.1,<0> ,8.1,<0> ,1.30,<0> ,"","","",<-1> ,"","",7.9,<0> ,3,<0> ,6.3,<0> ,
"wqbslwq   ","P",05/21/2022 3:00,0,1,"",16.1,<0> ,46.61,<0> ,30.3,<0> ,98.8,<0> ,8.1,<0> ,1.32,<0> ,"","","",<-1> ,"","",7.9,<0> ,3,<0> ,6.7,<0> ,
"wqbslwq   ","P",05/21/2022 3:15,0,1,"",16.1,<0> ,46.53,<0> ,30.3,<0> ,98.3,<0> ,8.1,<0> ,1.34,<0> ,"","","",<-1> ,"","",7.9,<0> ,3,<0> ,6.9,<0> ,
"wqbslwq   ","P",05/21/2022 3:30,0,1,"",16.2,<0> ,46.46,<0> ,30.2,<0> ,98.8,<0> ,8.1,<0> ,1.36,<0> ,"","","",<-1> ,"","",7.9,<0> ,3,<0> ,6.0,<0> ,
"wqbslwq   ","P",05/21/2022 3:45,0,1,"",16.2,<0> ,46.41,<0> ,30.2,<0> ,98.6,<0> ,8.1,<0> ,1.38,<0> ,"","","",<-1> ,"","",7.9,<0> ,3,<0> ,6.1,<0> ,
"wqbslwq   ","P",05/21/2022 4:00,0,1,"",16.2,<0> ,46.42,<0> ,30.2,<0> ,98.2,<0> ,8.0,<0> ,1.40,<0> ,"","","",<-1> ,"","",7.9,<0> ,3,<0> ,6.3,<0> ,
"wqbslwq   ","P",05/21/2022 4:15,0,1,"",16.1,<0> ,46.40,<0> ,30.2,<0> ,97.3,<0> ,8.0,<0> ,1.42,<0> ,"","","",<-1> ,"","",7.9,<0> ,3,<0> ,6.3,<0> ,
"wqbslwq   ","P",05/21/2022 4:30,0,1,"",16.2,<0> ,46.51,<0> ,30.3,<0> ,96.5,<0> ,7.9,<0> ,1.45,<0> ,"","","",<-1> ,"","",7.9,<0> ,3,<0> ,6.2,<0> ,
"wqbslwq   ","P",05/21/2022 4:45,0,1,"",16.1,<0> ,46.55,<0> ,30.3,<0> ,95.6,<0> ,7.8,<0> ,1.47,<0> ,"","","",<-1> ,"","",7.9,<0> ,3,<0> ,5.7,<0> ,
"wqbslwq   ","P",05/21/2022 5:00,0,1,"",16.0,<0> ,46.60,<0> ,30.3,<0> ,94.7,<0> ,7.8,<0> ,1.49,<0> ,"","","",<-1> ,"","",7.9,<0> ,3,<0> ,6.1,<0> ,
"wqbslwq   ","P",05/21/2022 5:15,0,1,"",16.0,<0> ,46.77,<0> ,30.4,<0> ,93.9,<0> ,7.7,<0> ,1.50,<0> ,"","","",<-1> ,"","",7.9,<0> ,2,<0> ,6.2,<0> ,
"wqbslwq   ","P",05/21/2022 5:30,0,1,"",15.9,<0> ,46.84,<0> ,30.5,<0> ,93.1,<0> ,7.7,<0> ,1.48,<0> ,"","","",<-1> ,"","",7.9,<0> ,2,<0> ,5.5,<0> ,
"wqbslwq   ","P",05/21/2022 5:45,0,1,"",15.8,<0> ,46.93,<0> ,30.5,<0> ,92.5,<0> ,7.6,<0> ,1.46,<0> ,"","","",<-1> ,"","",7.9,<0> ,2,<0> ,5.8,<0> ,
"wqbslwq   ","P",05/21/2022 6:00,0,1,"",15.8,<0> ,46.95,<0> ,30.6,<0> ,91.6,<0> ,7.5,<0> ,1.44,<0> ,"","","",<-1> ,"","",7.9,<0> ,3,<0> ,5.0,<0> ,
"wqbslwq   ","P",05/21/2022 6:15,0,1,"",15.8,<0> ,46.85,<0> ,30.5,<0> ,90.8,<0> ,7.5,<0> ,1.43,<0> ,"","","",<-1> ,"","",7.9,<0> ,3,<0> ,8.3,<0> ,
"wqbslwq   ","P",05/21/2022 6:30,0,1,"",15.9,<0> ,46.81,<0> ,30.5,<0> ,90.4,<0> ,7.4,<0> ,1.41,<0> ,"","","",<-1> ,"","",7.9,<0> ,3,<0> ,4.7,<0> ,
"wqbslwq   ","P",05/21/2022 6:45,0,1,"",16.2,<0> ,46.56,<0> ,30.3,<0> ,92.1,<0> ,7.5,<0> ,1.39,<0> ,"","","",<-1> ,"","",7.9,<0> ,2,<0> ,4.3,<0> ,
"wqbslwq   ","P",05/21/2022 7:00,0,1,"",16.2,<0> ,46.65,<0> ,30.3,<0> ,89.6,<0> ,7.3,<0> ,1.36,<0> ,"","","",<-1> ,"","",7.8,<0> ,2,<0> ,4.7,<0> ,
"wqbslwq   ","P",05/21/2022 7:15,0,1,"",16.1,<0> ,46.57,<0> ,30.3,<0> ,89.9,<0> ,7.4,<0> ,1.34,<0> ,"","","",<-1> ,"","",7.8,<0> ,2,<0> ,5.0,<0> ,
"wqbslwq   ","P",05/21/2022 7:30,0,1,"",16.1,<0> ,46.70,<0> ,30.4,<0> ,89.4,<0> ,7.3,<0> ,1.31,<0> ,"","","",<-1> ,"","",7.8,<0> ,2,<0> ,5.8,<0> ,
"wqbslwq   ","P",05/21/2022 7:45,0,1,"",16.1,<0> ,46.73,<0> ,30.4,<0> ,89.4,<0> ,7.3,<0> ,1.29,<0> ,"","","",<-1> ,"","",7.8,<0> ,2,<0> ,4.5,<0> ,
"wqbslwq   ","P",05/21/2022 8:00,0,1,"",16.1,<0> ,46.45,<0> ,30.2,<0> ,92.8,<0> ,7.6,<0> ,1.26,<0> ,"","","",<-1> ,"","",7.9,<0> ,2,<0> ,4.3,<0> ,
"wqbslwq   ","P",05/21/2022 8:15,0,1,"",16.1,<0> ,46.55,<0> ,30.3,<0> ,92.7,<0> ,7.6,<0> ,1.23,<0> ,"","","",<-1> ,"","",7.9,<0> ,2,<0> ,3.7,<0> ,
"wqbslwq   ","P",05/21/2022 8:30,0,1,"",16.1,<0> ,46.60,<0> ,30.3,<0> ,91.0,<0> ,7.5,<0> ,1.20,<0> ,"","","",<-1> ,"","",7.8,<0> ,2,<0> ,3.8,<0> ,
"wqbslwq   ","P",05/21/2022 8:45,0,1,"",16.1,<0> ,46.69,<0> ,30.4,<0> ,89.4,<0> ,7.3,<0> ,1.16,<0> ,"","","",<-1> ,"","",7.8,<0> ,3,<0> ,4.2,<0> ,
"wqbslwq   ","P",05/21/2022 9:00,0,1,"",16.1,<0> ,46.78,<0> ,30.4,<0> ,88.3,<0> ,7.2,<0> ,1.12,<0> ,"","","",<-1> ,"","",7.8,<0> ,2,<0> ,3.9,<0> ,
"wqbslwq   ","P",05/21/2022 9:15,0,1,"",16.0,<0> ,46.88,<0> ,30.5,<0> ,88.1,<0> ,7.2,<0> ,1.09,<0> ,"","","",<-1> ,"","",7.8,<0> ,3,<0> ,4.1,<0> ,
"wqbslwq   ","P",05/21/2022 9:30,0,1,"",16.1,<0> ,46.88,<0> ,30.5,<0> ,89.6,<0> ,7.3,<0> ,1.04,<0> ,"","","",<-1> ,"","",7.8,<0> ,3,<0> ,5.3,<0> ,
"wqbslwq   ","P",05/21/2022 9:45,0,1,"",16.1,<0> ,46.84,<0> ,30.5,<0> ,91.1,<0> ,7.5,<0> ,1.00,<0> ,"","","",<-1> ,"","",7.9,<0> ,3,<0> ,4.4,<0> ,
