STN_ID,STN_EQUIV,SAMP_DATE,UNIQUE_ID,SOURCE,LAB,GEN_QC,TIME,TIME_QC,DUP,SAMPDEP_M,SAMPDEP_QC,SECCHI_M,SECC_QC,TOTDEP_M,TOTDEP_QC,TEMP_C,TEMP_QC,SAL_FIELD,SAL_METH,SAL_QC,SAL_LAB,SAL_LAB_QC,COND,DO_MGL,DO_SAT,DO_METH,DO_QC,PO4_UM,PO4_QC,TP_UM,TP_QC,NH4_UM,NH4_QC,NO2NO3_UM,NO2NO3_QC,TDN_UM,TDN_QC,PON_UM,PON_QC,TN_UM,TN_QC,POC_UM,POC_QC,CHLA_UGL_LAB,CHLA_LAB_QC,CHLA_LAB_METH,CHLA_UGL_ SONDE,CHLA_SONDE_QC,CHLA_SONDE_METH,PHEO_UGL,PHEO_QC,DOC_UM,DOC_QC,PH,PH_QC,BEAU,BEAU_QC,TIDE,WHTR,PREC,WIND,OBS_COMM,QA_COM
FC1X,FC1,6/2/1993,FC1X-X-1993-06-02-0800-S-0.15-0,BBC,,,8:00 AM,,0,0.15,,,,3,,15,,29.5,S1,11,,,,7,83.30%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,0,2,3,WSW,,
FC1X,FC1,6/2/1993,FC1X-X-1993-06-02-0815-D-3-0,BBC,,,8:15 AM,,0,3,,,,3,,15.2,,31,S1,11,,,,7,84.40%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,0,2,3,WSW,,
FC1X,FC1,6/7/1993,FC1X-X-1993-06-07-0815-S-0.15-0,BBC,,,8:15 AM,,0,0.15,,,,2.75,,15,,29.5,S1,11,,,,7.5,89.20%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,0,2,2,NW,,
FC1X,FC1,6/7/1993,FC1X-X-1993-06-07-0830-D-2.43-0,BBC,,,8:30 AM,,0,2.43,,,,2.75,,16,,31,S1,11,,,,7.5,91.90%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,0,2,2,NW,,
FC1X,FC1,6/14/1993,FC1X-X-1993-06-14-0815-D-2.05-0,BBC,,,8:15 AM,,0,2.05,,,,2.35,,18,,31,S1,11,,,,7.5,95.50%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1,1,SW,,
FC1X,FC1,6/14/1993,FC1X-X-1993-06-14-0800-S-0.15-0,BBC,,,8:00 AM,,0,0.15,,,,2.35,,18.5,,29,S1,11,,,,7,89.00%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1,1,SW,,
FC1X,FC1,6/23/1993,FC1X-X-1993-06-23-0600-S-0.15-0,BBC,,,6:00 AM,,0,0.15,,,,2.14,,18.5,,28.5,S1,11,,,,6.5,82.40%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,1,NW,,
FC1X,FC1,6/23/1993,FC1X-X-1993-06-23-0620-D-1.84-0,BBC,,,6:20 AM,,0,1.84,,,,2.14,,20.5,,30,S1,11,,,,6,79.70%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,1,NW,,
FC1X,FC1,6/30/1993,FC1X-X-1993-06-30-0700-S-0.15-0,BBC,,,7:00 AM,,0,0.15,,,,3,,21,,30,S1,11,,,,7,93.80%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,3,2,SSW,,
FC1X,FC1,6/30/1993,FC1X-X-1993-06-30-0715-D-2.7-0,BBC,,,7:15 AM,,0,2.7,,,,3,,21.5,,31.5,S1,11,,,,7.5,102.30%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,3,2,SSW,,
FC1X,FC1,7/9/1993,FC1X-X-1993-07-09-0720-S-0.15-0,BBC,,,7:20 AM,,0,0.15,,,,2.35,,24.5,,30,S1,11,,,,6.5,92.70%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,2,1,WSW,,
FC1X,FC1,7/9/1993,FC1X-X-1993-07-09-0738-D-2.05-0,BBC,,,7:38 AM,,0,2.05,,,,2.35,,25,,31.5,S1,11,,,,7,101.60%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,2,1,WSW,,
FC1X,FC1,7/16/1993,FC1X-X-1993-07-16-0730-S-0.15-0,BBC,,,7:30 AM,,0,0.15,,,,2.9,,23.5,,30,S1,11,,,,7,98.10%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,0,1,1,NW,,
FC1X,FC1,7/16/1993,FC1X-X-1993-07-16-0745-D-2.6-0,BBC,,,7:45 AM,,0,2.6,,,,2.9,,24,,31,S1,11,,,,5.5,78.20%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,0,1,1,NW,,
FC1X,FC1,7/24/1993,FC1X-X-1993-07-24-0715-S-0.15-0,BBC,,,7:15 AM,,0,0.15,,,,2.15,,21,,30,S1,11,,,,6.5,87.10%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1,1,NE,,
FC1X,FC1,7/24/1993,FC1X-X-1993-07-24-0730-D-1.85-0,BBC,,,7:30 AM,,0,1.85,,,,2.15,,22.5,,31,S1,11,,,,6.5,90.00%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1,1,NE,,
FC1X,FC1,7/28/1993,FC1X-X-1993-07-28-0703-D-2.37-0,BBC,,,7:03 AM,,0,2.37,,,,2.67,,21,,30.5,S1,11,,,,6,80.60%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,4,3,SW,,
FC1X,FC1,7/28/1993,FC1X-X-1993-07-28-0645-S-0.15-0,BBC,,,6:45 AM,,0,0.15,,,,2.67,,21.5,,30,S1,11,,,,6.5,87.90%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,4,3,SW,,
