id,internal_station_id,collected_at,temperature_C,salinity,dissolved_oxygen_mg/L,chlorophyll_ug/L,pheophytin_ug/L,turbidty_NTU,nitrate_nitrite_uM,ammonium_uM,ortho_phosphate_uM,silicate_uM,particulate_organic_nitrogen_uM,particulate_organic_carbon_uM,total_dissolved_nitrogen_uM,total_dissolved_phosphorus_uM,total_nitrogen_uM,total_phosphorus_uM,total_nitrogen_TDN_PON
15870,124,2018-09-03T11:55:00.000Z,24.3,21.1,4.94,9.37,2.25,1.81,1.25,2.76,1,33.14,10.17,85.36,27.141,1.47,36,1.84,37.31
15871,124,2018-09-14T08:15:00.000Z,21.1,29,5.4,2.34,2.34,2.07,0.79,2.68,0.81,10.27,6.3,100.32,21.544,0.94,26.035,1.105,27.84
15872,124,2018-10-02T09:28:00.000Z,21.9,30,6,1.71,1.46,1.22,0.78,2.25,0.86,11.5,6.21,68.21,17.908,1.14,16.1,1.31,24.12
15873,124,2018-10-16T10:40:00.000Z,14.8,19,6.69,2,1.75,1.44,3.04,4.81,1.25,34.98,5.01,59.88,24.026,1.14,16.7,1.21,29.04
15874,124,2019-02-12T09:55:00.000Z,0.9,13.2,11.63,2.28,2.8,2,10.39,8.65,0.23,34.13,11.26,100.32,37.3,0.47,37.9,1.53,48.56
15875,124,2019-05-08T09:35:00.000Z,14.8,14,6.7,3.36,3.89,1.44,2.29,2.04,0.31,9.27,9.37,91.47,31.2,0.73,32.7,1.14,40.57
15876,124,2019-06-06T07:14:00.000Z,18.1,29,5.5,3.03,3.45,1.06,0.47,1.12,1.44,6.73,11.35,105.71,21.2,0.89,31.5,1.18,32.55
15877,124,2019-06-21T08:05:00.000Z,19.2,30,5.4,2.48,2.58,0.9,1.22,2.2,0.28,8.45,6.06,65.21,24.7,0.87,26.9,1.25,30.76
15878,124,2019-07-09T08:06:00.000Z,21.9,27,7.36,2.65,1.28,1.04,0.1,0.4,0.41,2.04,9.11,88.37,20.6,0.64,19.9,1.62,29.71
15879,124,2019-07-23T08:32:00.000Z,24.8,27,5.04,4.38,3.13,2.17,0.25,2.47,0.7,9.09,14.6,145.66,20.7,0.86,22.7,1.57,35.3
15880,124,2019-08-06T00:00:00.000Z,24.5,28,4.4,3.38,3,1.46,0.47,2.37,0.74,17,12.87,162.89,29.6,1.26,31.2,2.1,42.47
15881,124,2019-08-20T09:01:00.000Z,26.2,20,3.6,5.76,2.5,2.29,2.11,6.53,0.91,40.16,13.67,127.77,37.2,1.54,26.8,2.05,50.87
15882,124,2019-09-04T00:00:00.000Z,21.5,29,5.7,1.63,1.76,0.98,0.23,1.64,0.86,4.45,8.39,98.27,18.9,0.92,20.8,1.74,27.29
15883,124,2019-09-18T08:02:00.000Z,18.7,29,5.5,7.89,2.47,1.25,0.36,0.44,0.47,16.58,10.6,102.08,19.4,0.96,25.2,1.95,30
15884,124,2019-10-03T08:10:00.000Z,17.2,26,5.9,2.25,2.5,1.28,0.72,2.03,0.48,8.8,7.24,78.53,16.5,0.8,24.2,1.3,23.74
15885,124,2020-02-03T11:20:00.000Z,3.3,25.7,11.44,5.58,0.91,0.81,0.65,0.01,0.08,4.91,6.16,72.94,9.99,0.33,14.5,0.799,16.15
15886,124,2020-05-14T11:45:00.000Z,13.1,11.9,8.79,4.09,2.68,1.78,4.03,1.14,0.15,13.03,10.11,89.25,22.5,0.65,24.5,1.34,32.61
15887,124,2020-06-10T07:50:00.000Z,18.8,29,6,2.34,2.3,1.44,0.17,0.97,0.25,3.49,10.69,132.77,13.3,0.49,19,0.761,23.99
15888,124,2020-06-24T07:54:00.000Z,22.6,28,4.4,5.4,5.94,2.79,0.35,1.89,0.34,9.07,20.39,258.81,20.9,1.02,32.6,1.99,41.29
15889,124,2020-07-10T08:32:00.000Z,24,28,5.5,4.19,2.25,5.47,0.67,2.01,0.38,9.05,18.72,220.92,21.7,1.09,29.1,1.77,40.42
15890,124,2020-07-24T08:10:00.000Z,26.1,28,4.3,5.09,4.65,2.39,0.44,2.61,0.71,10.92,18.08,214.43,23.2,1.36,29.7,2.18,41.28
15891,124,2020-08-07T08:14:00.000Z,25.3,25,5.1,11.71,2.49,3.59,0.58,2.09,0.57,19.75,19.6,213.59,22.4,1.23,33.7,2.24,42
15892,124,2020-08-25T09:34:00.000Z,27.8,30,5.5,3.86,2.56,1.62,0.5,2.35,0.77,8.21,12.04,127.19,21.9,1.15,28.3,2.08,33.94
15893,124,2020-09-11T12:18:00.000Z,23.1,20.4,6.25,52.43,1.04,4.64,0.13,1.2,0.62,28.8,30.63,230.49,26.4,1.29,47,3.74,57.03
15894,124,2020-09-23T09:12:00.000Z,25.4,30,4.8,2.35,1.48,1.68,0.27,1.13,0.75,6.35,6.94,94.12,11.2,0.99,14.9,0.868,18.14
15895,124,2020-10-07T08:50:00.000Z,17.5,28,6.8,9.95,1.97,1.56,0.81,0.89,0.45,14.3,12.61,117.33,24.1,0.83,28.2,1.08,36.71
15896,124,2021-02-06T12:00:00.000Z,2.7,25.8,10.97,11.91,1.53,1.31,0.01,0.18,0.01,2.96,8.71,88.06,11.1,0.282,16.9,0.61,19.81
15897,124,2021-05-18T08:46:00.000Z,17.8,28,5.6,3.99,2.52,0.54,0.44,0.84,0.19,3.44,8.75,78.91,19.4,0.832,19.1,1.1,28.15
15898,124,2021-06-15T08:55:00.000Z,20.7,26,5.1,2.65,2.86,1.87,0.3,1.09,0.31,5.52,10.64,119.04,17.8,0.871,20.3,1.54,28.44
15899,124,2021-06-30T10:00:00.000Z,26.1,27,4.5,4.39,4.07,2.56,1.03,2.53,0.52,15.91,14.45,137.19,28.6,1.22,30.4,1.45,43.05
15900,124,2021-07-15T09:04:00.000Z,22.6,27,9.8,5.07,4.12,2.82,1.4,3.24,0.48,18.4,13.86,151.4,26.4,1.23,37.9,1.76,40.26
15901,124,2021-07-29T08:30:00.000Z,24.9,30,5.2,4.58,2.38,1.49,0.09,0.88,0.45,3.96,12.9,135.72,13.7,0.775,23.1,1.68,26.6
15902,124,2021-08-12T07:22:00.000Z,27.6,29,4.1,3.72,3.04,3.67,0.75,3.32,0.7,7.39,17.9,199.42,22.3,1.09,62.4,3.19,40.2
15903,124,2021-08-26T08:15:00.000Z,27,20,5,8.59,3.8,2.59,0.69,2.47,1.08,21.29,17,164.46,27.6,1.6,29.6,2.46,44.6
15904,124,2021-09-14T09:15:00.000Z,25.6,30,5.9,2.39,1.52,1.18,0.29,1.44,0.74,3.18,8.55,82.16,11.7,1.03,16.8,1.58,20.25
15905,124,2021-09-28T10:05:00.000Z,24.8,25,5.3,3.36,2.06,1.63,2.21,4.21,0.82,20.43,7.41,76.29,22.8,1.21,31.4,2.05,30.21
15906,124,2021-10-12T09:51:00.000Z,25.6,30,4.4,1.5,1.6,1.27,1.17,2.05,0.7,9.72,8.98,93.25,13.3,1,16.2,1.27,22.28
15907,124,2022-02-10T11:10:00.000Z,3.1,26.92,11.59,7.92,2.22,2.32,2.59,0.81,0.11,8.77,9.99,109.25,12.6,0.49,20.9,1.13,22.59
15908,124,2022-05-20T08:55:00.000Z,19.6,28,5.3,2.04,2.63,1.37,0.23,0.79,0.18,3.07,8.32,112.96,12.6,0.48,19.5,0.75,20.92
15909,124,2022-06-07T09:07:00.000Z,22.2,30,6.6,1.81,1.59,1.1,0.23,0.98,0.25,1.39,8.66,99.62,14.6,0.81,18.9,1.55,23.26
15910,124,2022-06-21T09:08:00.000Z,21,30,6.9,14.8,5.88,1.73,0.16,1.75,0.2,5.05,18.69,127.42,22.3,1.01,32.7,1.45,40.99
15911,124,2022-07-07T07:40:00.000Z,23.9,30,6.2,2.04,1.75,0.65,0.17,1.24,0.37,1.35,12.49,97.55,14.7,1,15.6,1.08,27.19
15912,124,2022-07-19T07:45:00.000Z,24.2,30,5.3,3.46,3.67,2.32,0.57,2.17,0.48,3.45,13.81,146.6,27.3,1.31,24.5,1.48,41.11
15913,124,2022-08-04T08:17:00.000Z,25.9,28,5.9,3.45,2.19,1.27,0.42,2.28,0.77,6.38,9.31,95.72,17.3,1.47,20.4,1.89,26.61
15914,124,2022-08-16T08:34:00.000Z,23,32,4.9,8.24,4.11,2.94,0.43,2.19,0.88,19.29,16.27,186.99,21.4,1.71,34.9,2.66,37.67
15915,124,2022-09-02T08:17:00.000Z,23.9,29,5.6,5.99,2.81,1.74,0.49,2.85,0.92,7.47,12.74,133,30.3,1.46,42.7,1.85,43.04
15916,124,2022-09-16T08:56:00.000Z,22.2,29,5.8,2.53,1.5,1.61,0.98,3.57,1.22,17.07,8.79,86.7,15.8,1.6,19.9,2.14,24.59
15917,124,2022-10-06T14:10:00.000Z,16.6,28.98,7.36,2.65,2.01,2.04,0.66,2.4,0.64,13.31,5.79,66.25,18.6,1.08,17.6,1.59,24.39
